date,sleep_hours,workout_minutes,social_interaction_minutes,energy_level,mood,screen_time_minutes,sleep_quality,rainfall_mm,sunshine_hours
2024-01-25 22:15:25.239581,4.18,60,44,2,bored,396,10,74.73,4.24
2024-01-24 22:15:25.239581,6.54,51,65,6,sad,295,5,75.26,7.26
2024-01-23 22:15:25.239581,7.35,90,86,7,happy,162,5,97.43,0.59
2024-01-22 22:15:25.239581,6.61,67,173,8,excited,173,6,3.87,4.23
2024-01-21 22:15:25.239581,7.76,87,218,8,relaxed,225,7,37.18,4.72
2024-01-20 22:15:25.239581,5.77,53,46,3,anxious,315,3,83.08,0.34
2024-01-19 22:15:25.239581,8.11,88,222,7,excited,113,6,52.33,6.3
2024-01-18 22:15:25.239581,4.07,11,7,3,angry,308,5,9.37,3.47
2024-01-17 22:15:25.239581,8.38,92,66,10,content,84,9,84.65,0.59
2024-01-16 22:15:25.239581,5.7,14,79,2,depressed,386,1,5.48,8.17
2024-01-15 22:15:25.239581,6.73,35,255,10,excited,126,2,90.77,11.96
2024-01-14 22:15:25.239581,5.44,31,75,2,stressed,317,6,66.5,7.71
2024-01-13 22:15:25.239581,7.47,108,176,9,relaxed,69,9,53.28,0.21
2024-01-12 22:15:25.239581,6.86,0,98,3,anxious,329,3,6.95,3.04
2024-01-11 22:15:25.239581,6.68,88,195,10,happy,195,1,18.18,11.04
2024-01-10 22:15:25.239581,8.15,74,177,9,relaxed,205,10,41.71,8.81
2024-01-09 22:15:25.239581,6.9,36,104,7,relaxed,173,7,43.58,0.66
2024-01-08 22:15:25.239581,6.94,12,81,5,depressed,304,5,14.6,10.56
2024-01-07 22:15:25.239581,5.5,43,61,5,angry,480,4,58.87,6.24
2024-01-06 22:15:25.239581,4.56,18,46,6,sad,307,6,14.9,4.27
2024-01-05 22:15:25.239581,5.66,6,18,1,stressed,266,3,16.95,4.41
2024-01-04 22:15:25.239581,4.99,58,7,6,sad,477,4,94.26,2.1
2024-01-03 22:15:25.239581,5.7,51,105,2,anxious,323,6,71.16,2.18
2024-01-02 22:15:25.239581,6.87,6,113,2,angry,395,3,54.83,2.2
2024-01-01 22:15:25.239581,6.86,84,252,10,happy,156,5,89.66,8.14
2023-12-31 22:15:25.239581,4.0,38,116,2,anxious,267,4,51.49,8.25
2023-12-30 22:15:25.239581,4.63,33,39,6,angry,469,4,58.13,11.49
2023-12-29 22:15:25.239581,6.18,31,67,4,stressed,248,2,75.19,4.4
2023-12-28 22:15:25.239581,4.38,23,68,3,bored,290,10,48.93,7.03
2023-12-27 22:15:25.239581,5.23,35,116,6,stressed,474,1,45.02,10.84
2023-12-26 22:15:25.239581,5.08,49,73,5,depressed,286,5,10.15,5.01
2023-12-25 22:15:25.239581,5.74,14,22,3,stressed,371,3,10.62,10.54
2023-12-24 22:15:25.239581,8.28,46,259,10,content,194,9,76.96,2.56
2023-12-23 22:15:25.239581,7.2,45,290,10,relaxed,92,7,3.01,6.78
2023-12-22 22:15:25.239581,8.95,39,145,10,happy,227,2,83.92,1.84
2023-12-21 22:15:25.239581,5.53,35,29,4,anxious,425,3,38.2,0.1
2023-12-20 22:15:25.239581,8.18,110,142,10,excited,151,1,56.89,10.87
2023-12-19 22:15:25.239581,6.06,36,91,6,anxious,320,2,47.37,3.26
2023-12-18 22:15:25.239581,5.76,40,35,5,angry,476,2,64.58,0.79
2023-12-17 22:15:25.239581,7.77,112,110,10,relaxed,233,7,71.2,0.02
2023-12-16 22:15:25.239581,7.79,37,110,9,happy,226,6,77.48,4.58
2023-12-15 22:15:25.239581,7.24,95,93,7,relaxed,197,7,5.55,10.59
2023-12-14 22:15:25.239581,6.96,36,8,3,anxious,301,3,66.82,2.38
2023-12-13 22:15:25.239581,6.03,15,57,2,stressed,388,6,28.33,1.68
2023-12-12 22:15:25.239581,4.67,52,15,2,depressed,439,2,37.07,8.57
2023-12-11 22:15:25.239581,5.8,45,4,2,depressed,344,6,57.3,8.57
2023-12-10 22:15:25.239581,4.83,6,70,3,anxious,324,5,71.13,6.19
2023-12-09 22:15:25.239581,8.52,85,160,10,happy,67,3,43.32,3.58
2023-12-08 22:15:25.239581,4.15,57,87,1,stressed,338,5,73.25,3.89
2023-12-07 22:15:25.239581,6.6,57,176,8,happy,240,1,51.88,2.11
2023-12-06 22:15:25.239581,6.59,10,62,2,stressed,369,3,90.48,8.46
2023-12-05 22:15:25.239581,7.15,47,159,9,excited,142,1,24.8,0.97
2023-12-04 22:15:25.239581,6.22,87,69,9,content,108,7,5.75,1.67
2023-12-03 22:15:25.239581,7.38,94,280,8,happy,64,2,16.3,10.5
2023-12-02 22:15:25.239581,8.9,35,112,10,relaxed,237,10,66.22,4.77
2023-12-01 22:15:25.239581,7.01,89,184,10,relaxed,184,8,82.82,0.69
2023-11-30 22:15:25.239581,8.25,61,195,10,excited,168,1,14.98,6.8
2023-11-29 22:15:25.239581,5.59,60,79,1,anxious,241,5,70.99,11.45
2023-11-28 22:15:25.239581,6.57,54,175,8,relaxed,232,9,0.78,3.64
2023-11-27 22:15:25.239581,7.01,85,80,10,happy,126,1,37.53,4.25
2023-11-26 22:15:25.239581,6.51,89,281,8,happy,111,5,33.7,2.5
2023-11-25 22:15:25.239581,7.19,83,144,9,excited,198,2,38.03,2.44
2023-11-24 22:15:25.239581,8.65,94,115,7,happy,230,2,82.17,9.51
2023-11-23 22:15:25.239581,5.0,49,42,3,angry,432,2,42.34,0.63
2023-11-22 22:15:25.239581,8.58,101,179,10,happy,178,1,83.7,3.03
2023-11-21 22:15:25.239581,6.23,39,73,2,stressed,366,6,72.11,2.61
2023-11-20 22:15:25.239581,7.0,38,85,3,depressed,453,5,89.43,0.52
2023-11-19 22:15:25.239581,4.53,27,91,5,angry,299,1,91.62,1.74
2023-11-18 22:15:25.239581,6.21,70,237,9,content,154,7,24.77,4.24
2023-11-17 22:15:25.239581,5.69,43,65,4,stressed,323,4,99.4,6.48
2023-11-16 22:15:25.239581,4.54,11,108,4,sad,385,2,91.12,4.02
2023-11-15 22:15:25.239581,7.0,27,42,1,bored,247,10,25.92,0.54
2023-11-14 22:15:25.239581,7.96,38,106,10,happy,235,2,87.58,4.64
2023-11-13 22:15:25.239581,8.26,71,245,9,relaxed,236,9,60.36,2.8
2023-11-12 22:15:25.239581,6.31,34,194,9,happy,137,4,0.26,11.65
2023-11-11 22:15:25.239581,8.09,98,82,9,relaxed,234,10,33.37,10.74
2023-11-10 22:15:25.239581,6.77,8,16,6,anxious,342,3,58.55,11.12
2023-11-09 22:15:25.239581,4.4,45,89,1,stressed,365,6,32.45,6.43
2023-11-08 22:15:25.239581,4.56,15,105,2,bored,373,9,84.9,6.02
2023-11-07 22:15:25.239581,5.27,33,71,6,bored,324,9,56.46,9.53
2023-11-06 22:15:25.239581,5.83,12,34,1,sad,323,6,62.89,11.41
2023-11-05 22:15:25.239581,8.32,85,69,8,content,231,9,60.92,2.55
2023-11-04 22:15:25.239581,8.33,98,233,9,excited,219,4,78.42,9.79
2023-11-03 22:15:25.239581,7.57,31,113,7,happy,209,3,67.35,5.93
2023-11-02 22:15:25.239581,4.08,42,97,1,angry,392,2,55.69,11.2
2023-11-01 22:15:25.239581,6.65,34,88,7,content,184,7,67.44,1.94
2023-10-31 22:15:25.239581,6.49,107,233,7,excited,104,6,41.03,11.32
2023-10-30 22:15:25.239581,4.5,3,37,4,depressed,310,4,61.74,1.32
2023-10-29 22:15:25.239581,5.53,53,5,1,depressed,419,5,62.05,4.76
2023-10-28 22:15:25.239581,8.62,33,136,7,relaxed,134,10,88.28,2.97
2023-10-27 22:15:25.239581,4.48,3,111,3,sad,348,2,88.84,0.33
2023-10-26 22:15:25.239581,5.55,40,68,3,anxious,415,6,88.99,9.11
2023-10-25 22:15:25.239581,5.63,17,33,2,angry,328,6,63.56,2.32
2023-10-24 22:15:25.239581,5.9,50,23,3,angry,264,2,42.88,6.41
2023-10-23 22:15:25.239581,4.45,36,93,3,stressed,411,3,19.68,11.94
2023-10-22 22:15:25.239581,6.74,11,20,5,stressed,451,5,75.6,2.52
2023-10-21 22:15:25.239581,5.83,60,107,5,sad,322,1,3.87,11.99
2023-10-20 22:15:25.239581,6.84,30,16,6,sad,381,1,41.73,6.71
2023-10-19 22:15:25.239581,8.6,40,249,9,happy,63,2,43.51,1.16
2023-10-18 22:15:25.239581,4.1,4,76,2,bored,343,7,9.83,5.49
2023-10-17 22:15:25.239581,6.4,51,126,8,relaxed,88,10,29.85,0.56
2023-10-16 22:15:25.239581,5.3,50,32,3,stressed,298,2,96.1,0.2
2023-10-15 22:15:25.239581,8.73,48,62,9,happy,145,3,92.53,2.91
2023-10-14 22:15:25.239581,6.98,41,23,3,stressed,397,2,8.95,0.79
2023-10-13 22:15:25.239581,5.49,46,58,6,sad,265,2,51.63,10.55
2023-10-12 22:15:25.239581,6.02,12,31,5,anxious,433,1,9.11,5.87
2023-10-11 22:15:25.239581,8.86,77,115,7,content,159,7,5.19,6.6
2023-10-10 22:15:25.239581,6.56,15,17,5,bored,454,7,29.6,9.29
2023-10-09 22:15:25.239581,8.94,107,183,9,happy,82,1,53.55,4.81
2023-10-08 22:15:25.239581,4.92,41,60,4,sad,340,5,21.03,11.37
2023-10-07 22:15:25.239581,7.31,84,78,10,content,86,8,90.78,4.38
2023-10-06 22:15:25.239581,4.65,22,29,2,angry,403,4,59.65,8.29
2023-10-05 22:15:25.239581,8.96,79,81,10,excited,189,3,2.17,0.4
2023-10-04 22:15:25.239581,4.82,44,11,6,anxious,386,4,0.94,11.14
2023-10-03 22:15:25.239581,6.91,50,193,7,happy,130,3,79.2,0.98
2023-10-02 22:15:25.239581,6.14,96,152,10,happy,80,1,60.88,0.93
2023-10-01 22:15:25.239581,7.33,119,163,7,happy,216,6,3.25,5.8
2023-09-30 22:15:25.239581,6.77,72,176,8,relaxed,208,7,44.09,9.33
2023-09-29 22:15:25.239581,5.9,30,100,4,angry,327,2,34.81,2.79
2023-09-28 22:15:25.239581,5.27,44,35,3,sad,430,4,98.45,4.58
2023-09-27 22:15:25.239581,5.83,22,101,6,sad,468,1,33.25,1.08
2023-09-26 22:15:25.239581,7.5,85,173,8,excited,225,1,79.62,8.33
2023-09-25 22:15:25.239581,6.87,56,49,3,sad,390,6,5.81,1.78
2023-09-24 22:15:25.239581,7.8,98,299,7,content,192,7,34.57,11.81
2023-09-23 22:15:25.239581,8.92,83,132,9,relaxed,205,7,92.93,6.38
2023-09-22 22:15:25.239581,5.32,4,42,2,angry,432,6,15.77,1.06
2023-09-21 22:15:25.239581,5.05,35,54,1,sad,411,3,54.38,9.26
2023-09-20 22:15:25.239581,8.82,68,216,9,content,117,10,54.07,0.8
2023-09-19 22:15:25.239581,7.86,98,262,7,excited,217,6,92.52,1.26
2023-09-18 22:15:25.239581,6.1,20,10,2,anxious,479,4,66.41,2.79
2023-09-17 22:15:25.239581,8.95,101,222,7,relaxed,152,7,12.84,7.52
2023-09-16 22:15:25.239581,6.66,23,67,4,sad,321,4,53.92,9.81
2023-09-15 22:15:25.239581,4.58,26,25,5,bored,379,7,38.4,7.16
2023-09-14 22:15:25.239581,5.51,45,17,5,sad,274,1,60.34,1.36
2023-09-13 22:15:25.239581,7.77,34,227,10,relaxed,229,7,42.05,8.72
2023-09-12 22:15:25.239581,5.76,37,107,2,anxious,338,3,3.9,2.82
2023-09-11 22:15:25.239581,6.49,55,114,2,angry,252,1,30.33,3.62
2023-09-10 22:15:25.239581,4.95,32,38,4,sad,312,4,32.08,3.1
2023-09-09 22:15:25.239581,5.47,10,93,2,bored,393,8,82.22,4.07
2023-09-08 22:15:25.239581,6.17,34,53,3,depressed,382,4,42.17,5.8
2023-09-07 22:15:25.239581,5.99,47,41,2,bored,416,8,78.94,6.46
2023-09-06 22:15:25.239581,4.51,47,17,2,angry,408,1,95.54,6.51
2023-09-05 22:15:25.239581,8.71,82,147,10,relaxed,161,7,92.82,9.1
2023-09-04 22:15:25.239581,6.21,112,84,7,excited,223,1,52.15,10.06
2023-09-03 22:15:25.239581,5.33,29,35,5,anxious,468,4,97.35,4.57
2023-09-02 22:15:25.239581,4.63,31,65,6,bored,465,10,31.72,5.69
2023-09-01 22:15:25.239581,6.68,118,91,7,excited,76,2,69.23,9.02
2023-08-31 22:15:25.239581,7.77,84,132,8,happy,141,4,14.3,5.3
2023-08-30 22:15:25.239581,5.7,42,19,5,angry,309,2,99.66,9.53
2023-08-29 22:15:25.239581,6.7,51,101,3,sad,398,5,34.76,1.67
2023-08-28 22:15:25.239581,8.08,95,147,10,content,88,7,85.21,11.17
2023-08-27 22:15:25.239581,5.79,54,18,2,sad,266,5,17.74,9.72
2023-08-26 22:15:25.239581,8.03,50,192,8,happy,143,6,62.38,7.12
2023-08-25 22:15:25.239581,6.61,56,36,1,sad,249,1,95.2,5.18
2023-08-24 22:15:25.239581,5.88,32,55,5,anxious,331,1,44.14,1.77
2023-08-23 22:15:25.239581,8.35,108,198,7,happy,238,3,90.53,8.09
2023-08-22 22:15:25.239581,7.36,36,260,10,happy,168,3,32.54,0.88
2023-08-21 22:15:25.239581,6.01,20,52,2,anxious,456,6,15.55,7.11
2023-08-20 22:15:25.239581,4.02,34,68,4,sad,366,6,40.44,9.4
2023-08-19 22:15:25.239581,6.83,48,241,8,relaxed,123,8,42.45,1.44
2023-08-18 22:15:25.239581,4.12,6,39,4,sad,386,3,83.46,8.55
2023-08-17 22:15:25.239581,5.0,52,83,3,bored,285,8,79.19,9.52
2023-08-16 22:15:25.239581,6.71,55,71,6,angry,426,6,83.83,11.26
2023-08-15 22:15:25.239581,6.11,14,106,6,depressed,380,5,37.55,3.63
2023-08-14 22:15:25.239581,4.74,37,46,6,bored,270,7,23.62,6.64
2023-08-13 22:15:25.239581,6.89,19,90,5,bored,477,7,77.83,9.35
2023-08-12 22:15:25.239581,4.04,25,27,5,sad,273,3,58.99,10.65
2023-08-11 22:15:25.239581,4.83,57,3,2,sad,272,6,23.19,6.99
2023-08-10 22:15:25.239581,4.98,40,79,3,bored,396,9,61.87,2.75
2023-08-09 22:15:25.239581,6.74,12,107,6,anxious,453,5,89.79,11.13
2023-08-08 22:15:25.239581,6.25,5,43,4,bored,292,7,75.38,0.65
2023-08-07 22:15:25.239581,5.81,25,42,1,stressed,456,3,5.38,6.09
2023-08-06 22:15:25.239581,5.36,49,81,5,sad,431,6,78.75,4.23
2023-08-05 22:15:25.239581,5.68,37,54,4,stressed,316,3,70.8,7.8
2023-08-04 22:15:25.239581,5.03,24,85,6,stressed,249,6,51.62,5.61
2023-08-03 22:15:25.239581,5.54,14,43,1,anxious,423,5,7.96,6.1
2023-08-02 22:15:25.239581,6.95,31,67,10,happy,179,5,26.52,8.08
2023-08-01 22:15:25.239581,6.53,47,87,8,happy,217,3,14.12,6.67
2023-07-31 22:15:25.239581,6.67,47,284,8,content,188,9,82.73,5.69
2023-07-30 22:15:25.239581,7.51,47,66,9,happy,191,2,96.0,0.89
2023-07-29 22:15:25.239581,5.64,35,37,5,sad,341,3,88.62,1.89
2023-07-28 22:15:25.239581,4.26,39,74,3,stressed,353,5,76.43,2.73
2023-07-27 22:15:25.239581,5.85,35,109,2,angry,289,2,77.42,5.02
2023-07-26 22:15:25.239581,4.9,8,7,6,bored,300,8,52.97,2.02
2023-07-25 22:15:25.239581,5.97,4,106,1,angry,436,2,38.94,4.94
2023-07-24 22:15:25.239581,4.75,17,30,1,depressed,326,1,31.73,11.57
2023-07-23 22:15:25.239581,8.28,36,178,10,relaxed,223,8,84.1,8.29
2023-07-22 22:15:25.239581,6.12,84,296,10,content,83,7,70.93,4.99
2023-07-21 22:15:25.239581,8.27,52,284,8,content,182,9,36.5,1.81
2023-07-20 22:15:25.239581,7.49,98,278,10,happy,212,2,99.34,10.46
2023-07-19 22:15:25.239581,4.32,45,83,3,depressed,428,5,37.02,9.65
2023-07-18 22:15:25.239581,5.45,44,60,6,sad,343,1,39.02,3.96
2023-07-17 22:15:25.239581,7.19,70,288,7,content,139,8,80.57,3.73
2023-07-16 22:15:25.239581,6.88,99,87,8,excited,183,2,45.62,4.87
2023-07-15 22:15:25.239581,6.14,68,147,10,excited,99,3,43.76,11.12
2023-07-14 22:15:25.239581,8.94,93,298,7,happy,164,3,11.07,10.57
2023-07-13 22:15:25.239581,6.12,58,63,3,bored,415,9,75.25,6.55
2023-07-12 22:15:25.239581,8.69,96,83,8,happy,156,5,84.29,4.4
2023-07-11 22:15:25.239581,4.76,28,46,2,bored,266,9,30.89,10.46
2023-07-10 22:15:25.239581,4.6,26,4,2,sad,315,1,45.86,7.26
2023-07-09 22:15:25.239581,4.22,28,9,1,sad,317,1,13.56,10.25
2023-07-08 22:15:25.239581,4.91,45,30,4,stressed,268,5,13.14,2.91
2023-07-07 22:15:25.239581,7.29,68,156,8,content,215,8,31.49,3.58
2023-07-06 22:15:25.239581,4.18,13,104,4,angry,405,6,11.29,2.89
2023-07-05 22:15:25.239581,4.54,20,89,2,sad,362,6,34.96,6.78
2023-07-04 22:15:25.239581,6.22,58,112,3,stressed,355,1,36.42,0.3
2023-07-03 22:15:25.239581,8.08,104,66,9,happy,231,3,6.59,10.23
2023-07-02 22:15:25.239581,6.1,22,10,5,anxious,417,2,10.52,6.53
2023-07-01 22:15:25.239581,6.75,86,193,7,excited,119,2,33.36,8.89
2023-06-30 22:15:25.239581,6.86,5,88,5,depressed,290,6,27.63,4.41
2023-06-29 22:15:25.239581,7.44,79,262,8,content,103,10,50.72,6.13
2023-06-28 22:15:25.239581,6.37,45,23,5,angry,343,4,47.53,0.37
2023-06-27 22:15:25.239581,5.03,40,85,1,bored,449,7,4.29,0.29
2023-06-26 22:15:25.239581,4.45,39,89,3,angry,427,1,37.04,5.67
2023-06-25 22:15:25.239581,4.3,31,88,2,depressed,332,3,19.85,11.26
2023-06-24 22:15:25.239581,4.59,0,63,3,stressed,423,2,20.14,6.76
2023-06-23 22:15:25.239581,6.66,18,56,3,bored,462,7,88.02,2.35
2023-06-22 22:15:25.239581,4.63,44,116,5,depressed,385,4,51.74,0.21
2023-06-21 22:15:25.239581,4.03,19,108,1,angry,268,5,80.95,11.01
2023-06-20 22:15:25.239581,5.16,22,63,1,bored,379,9,21.74,1.65
2023-06-19 22:15:25.239581,7.49,49,176,8,content,160,7,6.21,9.38
2023-06-18 22:15:25.239581,4.12,22,19,4,depressed,285,4,64.44,11.55
